Subject Code	Course Number	Class Number	Associated Class Number	Days	Start Time	End Time	Room	Instructor(s)	instructor_pittid	Ta(s)	Type	Session	Writing	Enrollment Cap	Current Enrollment	Current Waitlist	cross_list_id	Notes	Description	deleted	Academic Term Code	last_modified
CS	2000	25721	1160	ByAppt	12:00 am	12:00 am	TBA	TBD			THE	AT								0	2214	2020-10-28 11:42:18
CS	2000	25722	1170	ByAppt	12:00 am	12:00 am	TBA	Y. Zhang	youtao		THE	AT								0	2214	2020-10-28 11:42:18
CS	2000	25723	1180	ByAppt	12:00 am	12:00 am	TBA	TBD			THE	AT								0	2214	2020-10-28 11:42:18
CS	2000	25724	1190	ByAppt	12:00 am	12:00 am	TBA	TBD			THE	AT								0	2214	2020-10-28 11:42:18
CS	2000	25725	1200	ByAppt	12:00 am	12:00 am	TBA	TBD			THE	AT								0	2214	2020-10-28 11:42:18
CS	2000	25726	1205	ByAppt	12:00 am	12:00 am	TBA	TBD			THE	AT								0	2214	2020-10-28 11:42:18
CS	2000	25727	1210	ByAppt	12:00 am	12:00 am	TBA	TBD			THE	AT								0	2214	2020-10-28 11:42:18
CS	2002	25732	1010	ByAppt	12:00 am	12:00 pm	TBA	A. Labrinidis	labrinid		LEC	AT								0	2214	2020-10-28 11:42:18
CS	2003	25734	1200	MW	03:25 pm	04:40 pm	WEB	A. Labrinidis	labrinid		CLQ	AT								0	2214	2020-10-28 11:42:18
CS	2045	25933	1020	MW	06:30 pm	07:45 pm	TBA-40	K. Kosta	kok25		LEC	SE3		5			1		Enrollment Cap: 5	0	2214	2020-11-23 13:15:11
CS	2055	26649	1090	MW	01:15 pm	02:30 pm	TBA-52	K. Kosta	kok25		LEC	AT		46					Enrollment Cap: 46	0	2214	2020-10-28 11:42:18
CS	2055	26636	1090	F	01:15 pm	02:05 pm	TBA	TBD			REC	AT		23					Enrollment Cap: 23	0	2214	2020-10-28 11:42:18
CS	2055	26682	1090	F	03:25 pm	04:15 pm	TBA	TBD			REC	AT		23					Enrollment Cap: 23	0	2214	2020-10-28 11:42:18
CS	2056	25950	1030	TuTh	02:50 pm	04:05 pm	TBA-60	X. Jia	xiaowei		LEC	AT								0	2214	2020-10-28 11:42:18
CS	2056	25951	1030	F	10:00 am	10:50 am	TBA-30	TBD			REC	AT								0	2214	2020-10-28 11:42:18
CS	2056	25952	1030	F	11:05 am	11:55 am	TBA-30	TBD			REC	AT								0	2214	2020-10-28 11:42:18
CS	2110	25735	1010	MW	09:25 am	10:40 am	TBA-30	K. Pruhs	krp2		LEC	AT		5					Enrollment Cap: 5	0	2214	2020-10-28 11:42:18
CS	2150	25738	1100	MW	01:15 pm	02:30 pm	TBA-30	K. Pruhs	krp2		LEC	AT								0	2214	2020-10-28 11:42:18
CS	2410	31454	1000	MW	03:25 pm	04:40 pm	TBA-30	X. Tang	tax6		LEC	AT								0	2214	2020-10-28 11:42:18
CS	2510	31453	1000	MW	11:05 am	12:20 pm	TBA-30	J. Lange	jlange		LEC	AT								0	2214	2020-10-28 11:42:18
CS	2550	30019	1010	TuTh	09:25 am	10:40 am	TBA-30	P. Chrysanthis	panos		LEC	AT		30					Enrollment Cap: 30	0	2214	2020-10-28 11:42:18
CS	2750	25874	1010	TuTh	01:15 pm	02:30 pm	TBA-30	M. Hauskrecht	milos		LEC	AT								0	2214	2020-10-28 11:42:18
CS	2770	25965	1020	TuTh	11:05 am	12:20 pm	TBA-30	A. Kovashka	aik85		LEC	AT								0	2214	2020-10-28 11:42:18
CS	2900	25752	1010	ByAppt	12:00 am	12:00 am	TBA	X. Tang	tax6		INT	AT								0	2214	2020-10-28 11:42:18
CS	2900	25753	1020	ByAppt	12:00 am	12:00 am	TBA	S. Chang	schang		INT	AT								0	2214	2020-10-28 11:42:18
CS	2900	25754	1030	ByAppt	12:00 am	12:00 am	TBA	B. Childers	childers		INT	AT								0	2214	2020-10-28 11:42:18
CS	2900	25755	1040	ByAppt	12:00 am	12:00 am	TBA	P. Chrysanthis	panos		INT	AT								0	2214	2020-10-28 11:42:18
CS	2900	25756	1050	ByAppt	12:00 am	12:00 am	TBA	M. Hauskrecht	milos		INT	AT								0	2214	2020-10-28 11:42:18
CS	2900	25757	1060	ByAppt	12:00 am	12:00 am	TBA	S. Lee	stl86		INT	AT								0	2214	2020-10-28 11:42:18
CS	2900	25758	1070	ByAppt	12:00 am	12:00 am	TBA	A. Kovashka	aik85		INT	AT								0	2214	2020-10-28 11:42:18
CS	2900	25759	1080	ByAppt	12:00 am	12:00 am	TBA	A. Labrinidis	labrinid		INT	AT								0	2214	2020-10-28 11:42:18
CS	2900	25760	1090	ByAppt	12:00 am	12:00 am	TBA	J. Lange	jlange		INT	AT								0	2214	2020-10-28 11:42:18
CS	2900	25761	1100	ByAppt	12:00 am	12:00 am	TBA	A. Lee	adamlee		INT	AT								0	2214	2020-10-28 11:42:18
CS	2900	25764	1110	ByAppt	12:00 am	12:00 am	TBA	D. Litman	dlitman		INT	AT								0	2214	2020-10-28 11:42:18
CS	2900	25765	1120	ByAppt	12:00 am	12:00 am	TBA	R. Melhem	melhem		INT	AT								0	2214	2020-10-28 11:42:18
CS	2900	25766	1130	ByAppt	12:00 am	12:00 am	TBA	D. Mosse	mosse		INT	AT								0	2214	2020-10-28 11:42:18
CS	2900	25767	1140	ByAppt	12:00 am	12:00 am	TBA	TBD			INT	AT								0	2214	2020-10-28 11:42:18
CS	2900	25768	1150	ByAppt	12:00 am	12:00 am	TBA	S. Hwang	sjh95		INT	AT								0	2214	2020-10-28 11:42:18
CS	2900	25769	1160	ByAppt	12:00 am	12:00 am	TBA	TBD			INT	AT								0	2214	2020-10-28 11:42:18
CS	2900	25770	1170	ByAppt	12:00 am	12:00 am	TBA	Y. Zhang	youtao		INT	AT								0	2214	2020-10-28 11:42:18
CS	2900	25771	1180	ByAppt	12:00 am	12:00 am	TBA	TBD			INT	AT								0	2214	2020-10-28 11:42:18
CS	2900	25772	1190	ByAppt	12:00 am	12:00 am	TBA	TBD			INT	AT								0	2214	2020-10-28 11:42:18
CS	2900	25773	1200	ByAppt	12:00 am	12:00 am	TBA	TBD			INT	AT								0	2214	2020-10-28 11:42:18
