Subject Code,Course Number,Class Number,Associated Class Number,Days,Start Time,End Time,Room,Instructor(s),instructor_pittid,Ta(s),Type,Session,Writing,Enrollment Cap,Current Enrollment,Current Waitlist,cross_list_id,Notes,Description,deleted,Academic Term Code,last_modified
CS,1555,26635,1090,F,1:15 PM,2:05 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1555,26681,1090,F,3:25 PM,4:15 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1632,25635,1100,MW,1:15 PM,2:30 PM,TBA-50,D. Ahn,wahn,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1632,25638,1120,MW,11:05 AM,12:20 PM,TBA-50,D. Ahn,wahn,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1640,25941,1030,F,1:15 PM,3:05 PM,TBA,L. Nunes Quaresma de Oliveira,lun8,,PRA,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1645,25932,1020,MW,6:30 PM,7:45 PM,TBA-40,K. Kosta,kok25,,LEC,AT,,35,,,1,,Enrollment Cap: 35,0,2214,10/28/2020 11:42
CS,1651,31456,1000,MW,9:25 AM,10:40 AM,TBA-40,J. Lange,jlange,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1656,25947,1030,TuTh,2:50 PM,4:05 PM,TBA-60,X. Jia,xiaowei,,LEC,AT,,54,,,,,Enrollment Cap: 54,0,2214,10/28/2020 11:42
CS,1656,25948,1030,F,10:00 AM,10:50 AM,TBA-30,TBD,,,REC,AT,,27,,,,,Enrollment Cap: 27,0,2214,10/28/2020 11:42
CS,1656,25949,1030,F,11:05 AM,11:55 AM,TBA-30,TBD,,,REC,AT,,27,,,,,Enrollment Cap: 27,0,2214,10/28/2020 11:42
CS,1657,9999,1000,TuTh,11:05 AM,12:20 PM,TBA-40,W. Garrison,wcg6,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1660,30293,1010,W,6:30 PM,9:00 PM,TBA-50,M. Farag,msf52,,LEC,SE3,,,,,,,,0,2214,10/28/2020 11:42
CS,1674,6523,1000,TuTh,1:15 PM,2:30 PM,TBA-40,S. Hwang,sjh95,,LEC,AT,,40,,,,NEW COURSE,Enrollment Cap: 40 / NEW COURSE,0,2214,10/28/2020 11:42
CS,1675,28001,1010,TuTh,2:50 PM,4:05 PM,TBA-54,M. Hauskrecht,milos,,LEC,AT,,54,,,,,Enrollment Cap: 54,0,2214,10/28/2020 11:42
CS,1675,28035,1010,M,11:05 AM,11:55 AM,TBA-27,TBD,,,REC,AT,,27,,,,,Enrollment Cap: 27,0,2214,10/28/2020 11:42
CS,1675,28036,1010,M,12:10 PM,1:00 PM,TBA-27,TBD,,,REC,AT,,27,,,,,Enrollment Cap: 27,0,2214,10/28/2020 11:42
CS,1678,5932,1000,TuTh,2:50 PM,4:05 PM,TBA-40,A. Kovashka,aik85,,LEC,AT,,,,,,NEW COURSE,NEW COURSE,0,2214,10/28/2020 11:42
CS,1699,31455,1000,MW,3:25 PM,4:40 PM,TBA-40,E. Walker,eawalker,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1699,4744,1100,TuTh,9:25 AM,10:40 AM,TBA-40,M. Alikhani,malihe,,LEC,AT,,,,,,NEW COURSE,NEW COURSE,0,2214,10/28/2020 11:42
CS,1900,25677,1030,F,1:15 PM,2:05 PM,TBA,D. Ahn,wahn,,INT,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1902,25683,1010,ByAppt,12:00 AM,12:00 AM,TBA,J. Ramirez,nomad,,DIR,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1906,8330,1000,ByAppt,12:00 AM,12:00 AM,TBA,TBD,,,IND,AT,,40,,,,NEW COURSE,Enrollment Cap: 40 / NEW COURSE,0,2214,10/28/2020 11:42
CS,1950,25692,1030,F,1:15 PM,2:05 PM,TBA,D. Ahn,wahn,,DIR,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1980,25695,1030,F,1:15 PM,3:05 PM,TBA,L. Nunes Quaresma de Oliveira,lun8,,PRA,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25701,1010,ByAppt,12:00 AM,12:00 AM,TBA,X. Tang,tax6,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25703,1020,ByAppt,12:00 AM,12:00 AM,TBA,S. Chang,schang,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25704,1030,ByAppt,12:00 AM,12:00 AM,TBA,B. Childers,childers,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25705,1040,ByAppt,12:00 AM,12:00 AM,TBA,P. Chrysanthis,panos,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25706,1050,ByAppt,12:00 AM,12:00 AM,TBA,M. Hauskrecht,milos,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25709,1060,ByAppt,12:00 AM,12:00 AM,TBA,S. Lee,stl86,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25710,1070,ByAppt,12:00 AM,12:00 AM,TBA,A. Kovashka,aik85,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25711,1080,ByAppt,12:00 AM,12:00 AM,TBA,A. Labrinidis,labrinid,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25712,1090,ByAppt,12:00 AM,12:00 AM,TBA,J. Lange,jlange,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25713,1100,ByAppt,12:00 AM,12:00 AM,TBA,A. Lee,adamlee,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25714,1110,ByAppt,12:00 AM,12:00 AM,TBA,D. Litman,dlitman,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25715,1120,ByAppt,12:00 AM,12:00 AM,TBA,R. Melhem,melhem,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25716,1130,ByAppt,12:00 AM,12:00 AM,TBA,D. Mosse,mosse,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25719,1140,ByAppt,12:00 AM,12:00 AM,TBA,S. Hwang,sjh95,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25720,1150,ByAppt,12:00 AM,12:00 AM,TBA,TBD,,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25721,1160,ByAppt,12:00 AM,12:00 AM,TBA,TBD,,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25722,1170,ByAppt,12:00 AM,12:00 AM,TBA,Y. Zhang,youtao,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25723,1180,ByAppt,12:00 AM,12:00 AM,TBA,TBD,,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25724,1190,ByAppt,12:00 AM,12:00 AM,TBA,TBD,,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25725,1200,ByAppt,12:00 AM,12:00 AM,TBA,TBD,,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25726,1205,ByAppt,12:00 AM,12:00 AM,TBA,TBD,,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2000,25727,1210,ByAppt,12:00 AM,12:00 AM,TBA,TBD,,,THE,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2002,25732,1010,ByAppt,12:00 AM,12:00 PM,TBA,A. Labrinidis,labrinid,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2003,25734,1200,MW,3:25 PM,4:40 PM,WEB,A. Labrinidis,labrinid,,CLQ,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2045,25933,1020,MW,6:30 PM,7:45 PM,TBA-40,K. Kosta,kok25,,LEC,SE3,,5,,,1,,Enrollment Cap: 5,0,2214,11/23/2020 13:15
CS,2055,26649,1090,MW,1:15 PM,2:30 PM,TBA-52,K. Kosta,kok25,,LEC,AT,,46,,,,,Enrollment Cap: 46,0,2214,10/28/2020 11:42
CS,2055,26636,1090,F,1:15 PM,2:05 PM,TBA,TBD,,,REC,AT,,23,,,,,Enrollment Cap: 23,0,2214,10/28/2020 11:42
CS,2055,26682,1090,F,3:25 PM,4:15 PM,TBA,TBD,,,REC,AT,,23,,,,,Enrollment Cap: 23,0,2214,10/28/2020 11:42
CS,2056,25950,1030,TuTh,2:50 PM,4:05 PM,TBA-60,X. Jia,xiaowei,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2056,25951,1030,F,10:00 AM,10:50 AM,TBA-30,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2056,25952,1030,F,11:05 AM,11:55 AM,TBA-30,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,2110,25735,1010,MW,9:25 AM,10:40 AM,TBA-30,K. Pruhs,krp2,,LEC,AT,,5,,,,,Enrollment Cap: 5,0,2214,10/28/2020 11:42
